19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,Age,Education,Gender
95,90,86,82,77,73,69,65,60,56,52,47,43,39,34,30,26,21,17,13,1,1,1
99,94,90,86,81,77,73,68,64,60,55,51,47,42,38,34,30,25,21,17,3,2,1
100,97,92,88,84,79,75,71,66,62,58,53,49,45,41,36,32,28,23,19,5,3,1
100,99,95,91,86,82,78,73,69,65,60,56,52,47,43,39,34,30,26,21,2,4,2
100,100,98,93,89,85,80,76,72,67,63,59,54,50,46,41,37,33,28,24,4,5,2
92,88,84,79,75,71,66,62,58,53,49,45,41,36,32,28,23,19,15,10,2,1,1
96,92,88,83,79,75,70,66,62,57,53,49,44,40,36,31,27,23,19,14,4,2,1
99,94,90,86,81,77,73,68,64,60,55,51,47,42,38,34,30,25,21,17,1,3,2
100,97,93,88,84,80,75,71,67,62,58,54,49,45,41,36,32,28,23,19,3,4,2
100,99,95,91,87,82,78,74,69,65,61,56,52,48,43,39,35,30,26,22,5,5,2
90,86,82,77,73,69,65,60,56,52,47,43,39,34,30,26,21,17,13,8,3,1,1
94,90,86,81,77,73,68,64,60,55,51,47,43,38,34,30,25,21,17,12,5,2,1
97,92,88,84,79,75,71,66,62,58,53,49,45,41,36,32,28,23,19,15,2,3,2
99,95,91,86,82,78,73,69,65,60,56,52,47,43,39,34,30,26,21,17,4,4,2
100,98,93,89,85,80,76,72,67,63,59,54,50,46,41,37,33,28,24,20,1,6,1
89,84,80,76,71,67,63,58,54,50,45,41,37,32,28,24,19,15,11,6,4,1,1
92,88,84,79,75,71,66,62,58,54,49,45,41,36,32,28,23,19,15,10,1,2,2
95,90,86,82,77,73,69,65,60,56,52,47,43,39,34,30,26,21,17,13,3,3,2
97,93,89,84,80,76,71,67,63,58,54,50,45,41,37,33,28,24,20,15,5,4,2
100,96,91,87,83,78,74,70,65,61,57,52,48,44,40,35,31,27,22,18,2,6,1
86,82,77,73,69,65,60,56,52,47,43,39,34,30,26,21,17,13,8,4,5,1,1
90,86,81,77,73,68,64,60,55,51,47,43,38,34,30,25,21,17,12,8,2,2,2
92,88,84,79,75,71,66,62,58,54,49,45,41,36,32,28,23,19,15,10,4,3,2
95,91,86,82,78,73,69,65,60,56,52,47,43,39,34,30,26,22,17,13,1,5,1
98,93,89,85,80,76,72,67,63,59,54,50,46,41,37,33,28,24,20,16,3,6,1
84,79,75,71,66,62,58,53,49,45,41,36,32,28,23,19,15,10,6,2,1,1,2
88,83,79,75,70,66,62,57,53,49,44,40,36,31,27,23,19,14,10,6,3,2,2
