19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,Age,Education,Gender
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,1,1,1
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,2,1,1
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,3,1,1
89,85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,4,1,1
91,87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,5,1,1
82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,1,1,2
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,2,1,2
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,3,1,2
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,4,1,2
89,85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,5,1,2
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,1,2,1
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,2,2,1
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,3,2,1
88,84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,4,2,1
90,86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,5,2,1
81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,1,2,2
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,2,2,2
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,3,2,2
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,4,2,2
88,84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,5,2,2
81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,1,3,1
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,2,3,1
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,3,3,1
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,4,3,1
89,85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,5,3,1
79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,1,3,2
82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,2,3,2
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,3,2
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,4,3,2
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,5,3,2
80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,4,1,4,1
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,2,4,1
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,3,4,1
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,4,4,1
89,85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,5,4,1
78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,2,1,4,2
81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,2,4,2
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,4,2
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,4,4,2
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,5,4,2
79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,1,5,1
82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,2,5,1
84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,3,5,1
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,4,5,1
88,84,80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,5,5,1
77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,1,1,5,2
80,76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,4,2,5,2
82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,3,5,2
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,4,5,2
86,82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,5,5,2
78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,2,1,6,1
81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,2,6,1
83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,6,1
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,4,6,1
87,83,79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,5,6,1
76,72,68,64,60,56,52,48,44,40,36,32,28,24,20,16,12,8,4,0,1,6,2
79,75,71,67,63,59,55,51,47,43,39,35,31,27,23,19,15,11,7,3,2,6,2
81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,3,6,2
82,78,74,70,66,62,58,54,50,46,42,38,34,30,26,22,18,14,10,6,4,6,2
85,81,77,73,69,65,61,57,53,49,45,41,37,33,29,25,21,17,13,9,5,6,2
